index,Fire Alarm
12861,1
62469,0
49933,1
9539,1
13410,1
61059,0
52103,0
17395,1
44019,1
11753,1
46133,1
61335,0
31905,1
11374,1
61103,0
35460,1
56381,0
28921,1
8701,1
35380,1
53926,0
54620,0
1183,0
21652,1
21053,1
27598,0
60216,0
47156,1
28533,1
7082,1
46695,1
12339,1
46862,1
22245,1
56614,0
34803,1
5503,1
31631,1
30939,1
50962,1
11748,1
22609,1
58828,0
29254,1
42848,1
11152,1
51977,0
47160,1
2861,0
61443,0
58049,0
36438,1
53163,0
48493,1
19077,1
24897,1
10324,1
22091,1
54786,0
21800,1
24293,1
19792,1
41220,1
10585,1
42111,1
52686,0
2780,0
54174,0
17113,1
51724,0
2665,0
6833,1
960,0
35798,1
18433,1
26445,0
25552,0
34488,1
50489,1
7926,1
48206,1
44096,1
42883,1
40620,1
31420,1
61021,0
26092,0
18692,1
2935,0
6196,1
26520,0
36966,1
60479,0
12475,1
52412,0
35933,1
45805,1
16154,1
20630,1
10651,1
12642,1
21043,1
24736,1
36882,1
5588,1
62178,0
61247,0
37499,1
20299,1
1995,0
1389,0
7098,1
60121,0
51319,0
49541,1
47383,1
15593,1
56738,0
50096,1
50268,1
21429,1
39655,1
46710,1
54225,0
8271,1
19457,1
18829,1
5116,1
8300,1
14473,1
17826,1
54519,0
56588,0
17067,1
8283,1
4144,1
53680,0
48781,1
36114,1
36667,1
9430,1
39199,1
15013,1
37925,1
56222,0
32031,1
44485,1
12971,1
4990,1
9088,1
739,0
31523,1
28891,1
39918,1
57793,0
7120,1
4496,1
52251,0
17696,1
18546,1
2846,0
143,0
58975,0
53354,0
16985,1
7503,1
12162,1
37044,1
47388,1
45056,1
1187,0
3671,1
31053,1
16987,1
40737,1
30738,1
51131,1
38428,1
61194,0
19466,1
23195,1
58183,0
16918,1
31674,1
5747,1
30175,1
29,0
37003,1
38995,1
10832,1
33410,1
24862,1
27872,0
54574,0
14041,1
45286,1
43913,1
25831,0
36690,1
91,0
58904,0
59176,0
2199,0
11712,1
817,0
41804,1
50867,1
28321,1
60625,0
54346,0
29926,1
29804,1
43735,1
12086,1
35009,1
17272,1
39997,1
42739,1
55744,0
41877,1
9698,1
61742,0
25906,0
30714,1
33855,1
47374,1
38626,1
20277,1
31308,1
35958,1
44097,1
2357,0
57909,0
24036,1
57141,0
8074,1
21323,1
42055,1
46028,1
34875,1
59757,0
1845,0
54938,0
6162,1
55041,0
12859,1
56280,0
44584,1
42822,1
36326,1
8291,1
45436,1
44057,1
252,0
50853,1
107,0
48235,1
16003,1
32528,1
1545,0
10079,1
3002,0
47990,1
25817,0
48230,1
62404,0
59855,0
20510,1
6148,1
58122,0
4354,1
23240,1
16167,1
14054,1
27943,0
230,0
6343,1
56730,0
18972,1
28930,1
44350,1
32700,1
6301,1
12828,1
1275,0
59558,0
23255,1
33613,1
26207,0
9600,1
8469,1
21042,1
56446,0
53065,0
8308,1
15712,1
13234,1
14938,1
4796,1
15051,1
51237,0
10429,1
11133,1
7136,1
19625,1
15646,1
42146,1
42257,1
13173,1
46596,1
8186,1
33693,1
2779,0
12260,1
17649,1
40027,1
13469,1
10720,1
31146,1
52355,0
22338,1
48953,1
49343,1
56878,0
4618,1
60694,0
13459,1
12749,1
46892,1
2236,0
53312,0
6937,1
34816,1
38919,1
61826,0
30978,1
58923,0
6617,1
1591,0
11055,1
16755,1
22974,1
27304,0
34237,1
29729,1
33196,1
5347,1
13016,1
44541,1
26783,0
32287,1
34608,1
47572,1
61077,0
11754,1
27550,0
21274,1
22035,1
17289,1
17473,1
2167,0
60031,0
40876,1
51545,0
37188,1
40966,1
13689,1
3353,1
3568,1
30,0
131,0
43415,1
37433,1
54717,0
39141,1
19358,1
61299,0
21499,1
13519,1
446,0
57165,0
7168,1
10265,1
61067,0
17437,1
6267,1
30079,1
60342,0
27361,0
722,0
12594,1
18651,1
8439,1
43517,1
45788,1
10488,1
44402,1
7087,1
6902,1
26205,0
15473,1
53138,0
23309,1
60605,0
31725,1
54092,0
40545,1
26003,0
7709,1
28716,1
56533,0
31007,1
43502,1
57425,0
47243,1
61680,0
5011,1
51579,0
26852,0
62157,0
14910,1
33766,1
17076,1
16962,1
61316,0
31367,1
47789,1
27051,0
50297,1
26217,0
19279,1
9599,1
42947,1
24394,1
59884,0
7685,1
39879,1
41865,1
8412,1
58856,0
28050,0
26339,0
47045,1
56351,0
9598,1
52262,0
31581,1
10831,1
33391,1
12687,1
40282,1
35520,1
11821,1
53615,0
53316,0
25790,0
30180,1
28281,1
37113,1
14032,1
23756,1
55532,0
41608,1
31737,1
58659,0
6492,1
17640,1
34113,1
33536,1
28471,1
11431,1
2073,0
18748,1
10838,1
55055,0
33563,1
2899,0
24286,1
2568,0
6434,1
51262,0
1306,0
329,0
61355,0
13729,1
25242,0
60000,0
33648,1
3317,1
4245,1
57840,0
24631,1
52175,0
26663,0
42163,1
57693,0
61809,0
62334,0
18296,1
38582,1
9838,1
55201,0
48666,1
46295,1
10687,1
31537,1
44274,1
5838,1
10764,1
17560,1
58078,0
50052,1
8342,1
48820,1
21363,1
20395,1
4335,1
29065,1
37719,1
19668,1
45589,1
58934,0
11920,1
42434,1
50532,1
43690,1
14401,1
15567,1
43685,1
42014,1
60142,0
59784,0
43330,1
54428,0
30899,1
10125,1
18185,1
31873,1
48769,1
1626,0
34064,1
56436,0
2422,0
8084,1
43200,1
36988,1
38498,1
838,0
31746,1
35678,1
4929,1
55668,0
7785,1
35057,1
10698,1
37202,1
39659,1
30802,1
37195,1
45216,1
35741,1
60145,0
17193,1
44405,1
2242,0
2033,0
14659,1
54608,0
23513,1
46467,1
35691,1
7196,1
27978,0
38109,1
32059,1
53330,0
40020,1
46065,1
12592,1
24644,1
44051,1
44900,1
20603,1
52194,0
55738,0
14210,1
17682,1
28126,0
37836,1
33776,1
59804,0
24792,1
14067,1
2672,0
59065,0
47901,1
22243,1
58071,0
17461,1
44560,1
49214,1
21803,1
6554,1
12026,1
23022,1
53725,0
56288,0
10670,1
13468,1
5640,1
25647,0
54048,0
43939,1
57145,0
56258,0
1645,0
52880,0
36445,1
58113,0
60607,0
9924,1
42471,1
30309,1
58654,0
50961,1
29465,1
33552,1
56706,0
9681,1
429,0
52780,0
61481,0
11503,1
37698,1
49262,1
33645,1
51840,0
40835,1
22430,1
17245,1
13327,1
16361,1
10337,1
20261,1
4301,1
28638,1
24282,1
31558,1
13858,1
38607,1
21679,1
62294,0
12345,1
4384,1
34292,1
22266,1
48216,1
6846,1
27440,0
14303,1
45083,1
5193,1
1921,0
11373,1
12210,1
44340,1
7676,1
54331,0
3838,1
38422,1
3993,1
56202,0
38060,1
12522,1
28658,1
26123,0
42390,1
58911,0
40787,1
45462,1
24252,1
30459,1
62367,0
14540,1
11740,1
7123,1
39240,1
16267,1
58092,0
39959,1
17496,1
4612,1
32745,1
45650,1
21832,1
51334,0
35835,1
10465,1
1687,0
10650,1
56965,0
51329,0
42296,1
16730,1
19518,1
25793,0
38301,1
4652,1
5049,1
24109,1
6178,1
280,0
19776,1
11910,1
5247,1
5276,1
6377,1
35079,1
43142,1
2735,0
571,0
42470,1
51031,1
12087,1
6219,1
60514,0
25072,0
21346,1
8867,1
27492,0
45824,1
20921,1
48290,1
17481,1
32895,1
7149,1
14297,1
53609,0
13037,1
18421,1
61202,0
5046,1
52911,0
37248,1
4066,1
58760,0
34192,1
13514,1
1006,0
47040,1
12414,1
21313,1
36278,1
9875,1
48388,1
9180,1
39581,1
44866,1
24528,1
47144,1
9784,1
62292,0
17059,1
30592,1
22178,1
31940,1
46999,1
54216,0
29854,1
52606,0
37563,1
40415,1
40824,1
14874,1
29015,1
16046,1
38941,1
22563,1
16778,1
41138,1
36631,1
20696,1
48087,1
24256,1
43058,1
58593,0
42344,1
48532,1
38375,1
31796,1
40058,1
58915,0
29919,1
24333,1
4681,1
21303,1
49118,1
34128,1
30054,1
11560,1
15375,1
25261,0
22275,1
24550,1
36542,1
17396,1
58715,0
15839,1
36643,1
13383,1
8232,1
36384,1
60110,0
38331,1
35936,1
31675,1
40694,1
45329,1
47092,1
11109,1
60853,0
879,0
57061,0
18928,1
32301,1
21320,1
12127,1
42496,1
17664,1
42493,1
37601,1
42953,1
56391,0
20799,1
55227,0
21880,1
43641,1
48511,1
50075,1
57199,0
30716,1
40887,1
55787,0
30281,1
4295,1
3605,1
8928,1
50225,1
51073,1
4770,1
16765,1
14239,1
13431,1
24126,1
43239,1
58827,0
7397,1
13950,1
59025,0
3636,1
32732,1
3732,1
31438,1
25305,0
47728,1
26328,0
29306,1
30804,1
16893,1
46113,1
49379,1
60420,0
24222,1
17546,1
26060,0
25601,0
20602,1
44755,1
14996,1
34007,1
7271,1
15365,1
34334,1
4780,1
37472,1
17891,1
35429,1
4734,1
6983,1
58867,0
17554,1
47813,1
40124,1
56842,0
33920,1
10364,1
26256,0
46490,1
26861,0
29159,1
2140,0
31431,1
30299,1
51808,0
32319,1
31464,1
48145,1
44903,1
24692,1
60268,0
23492,1
1298,0
21939,1
46438,1
3567,1
33367,1
13727,1
15330,1
9309,1
16363,1
21416,1
62319,0
17085,1
6674,1
23753,1
23520,1
44795,1
33006,1
37278,1
25692,0
54648,0
33741,1
12953,1
16624,1
38477,1
6124,1
41121,1
61365,0
1480,0
49297,1
39985,1
12900,1
34316,1
5779,1
19289,1
15892,1
28756,1
27392,0
14793,1
46349,1
47200,1
36075,1
60313,0
50599,1
27032,0
25238,0
1292,0
27060,0
47097,1
56601,0
41422,1
12727,1
19125,1
11685,1
1511,0
22570,1
31039,1
439,0
5678,1
50693,1
25616,0
62383,0
56747,0
15743,1
21882,1
9895,1
55929,0
54059,0
54514,0
36317,1
29802,1
9061,1
17094,1
53425,0
30240,1
58868,0
48568,1
15909,1
25614,0
7681,1
28391,1
14137,1
16203,1
23001,1
12867,1
37951,1
9446,1
43540,1
32924,1
50528,1
45969,1
46058,1
11242,1
9157,1
16001,1
47726,1
5761,1
26188,0
45586,1
16013,1
8247,1
29762,1
30414,1
7154,1
21121,1
50424,1
60947,0
7900,1
22415,1
14487,1
16334,1
39790,1
55531,0
41987,1
19380,1
53144,0
27097,0
3235,1
55736,0
38938,1
33876,1
18847,1
41435,1
15404,1
58069,0
37109,1
60857,0
55430,0
709,0
41725,1
22857,1
30953,1
1258,0
31165,1
25848,0
10200,1
37743,1
4459,1
19941,1
39280,1
60184,0
36654,1
23485,1
38152,1
20882,1
55716,0
40298,1
56013,0
39183,1
36845,1
16563,1
28849,1
60575,0
35662,1
2189,0
60862,0
26522,0
3988,1
31167,1
60322,0
56931,0
57207,0
18700,1
39913,1
24210,1
57825,0
42508,1
14856,1
25880,0
18191,1
35643,1
15027,1
1522,0
35655,1
54463,0
15477,1
15312,1
57411,0
53270,0
56621,0
27079,0
4377,1
9846,1
21018,1
43342,1
19916,1
15885,1
3474,1
12142,1
7550,1
27085,0
55903,0
53832,0
1089,0
62401,0
55172,0
5166,1
2457,0
43300,1
39914,1
19319,1
53031,0
4429,1
23562,1
1416,0
62171,0
12943,1
38263,1
31543,1
33940,1
18878,1
51706,0
53254,0
12629,1
6125,1
7717,1
21132,1
5280,1
52934,0
33312,1
40916,1
33636,1
28957,1
11275,1
17062,1
42283,1
9790,1
21932,1
5026,1
53454,0
38820,1
22409,1
26804,0
38914,1
7184,1
41926,1
29382,1
17904,1
29571,1
13849,1
27487,0
30127,1
6720,1
61740,0
11665,1
23652,1
31305,1
24420,1
32107,1
37370,1
49693,1
7153,1
15749,1
32225,1
20454,1
34480,1
22025,1
37239,1
54515,0
44585,1
55859,0
61857,0
28826,1
24418,1
59311,0
27811,0
17940,1
57991,0
11915,1
6602,1
2502,0
16916,1
57961,0
52084,0
14529,1
33333,1
1379,0
2216,0
38861,1
59564,0
34428,1
52375,0
27206,0
23737,1
24206,1
15545,1
8710,1
50835,1
