,0
0,436.63446
1,435.25876
2,475.16006
3,439.8995
4,483.66962
5,457.3501
6,482.13852
7,462.0191
8,464.27966
9,434.86288
10,438.78616
11,471.7529
12,461.01855
13,432.3165
14,486.3676
15,475.51572
16,485.7275
17,434.63168
18,432.7759
19,447.3828
20,441.36108
21,447.25516
22,469.36685
23,442.8812
24,482.74606
25,433.0317
26,450.1332
27,463.8868
28,441.7626
29,433.45297
30,433.2981
31,479.66824
32,460.46878
33,444.6461
34,469.04208
35,457.95706
36,467.6586
37,457.47897
38,464.3686
39,451.04434
40,482.81216
41,471.33386
42,440.56534
43,480.43045
44,441.12564
45,433.6916
46,461.66608
47,445.33774
48,455.61407
49,449.95242
50,436.31232
51,466.42868
52,446.1331
53,438.5001
54,465.1356
55,457.71378
56,451.81543
57,442.48734
58,469.78134
59,443.0164
60,438.05283
61,438.78067
62,433.34882
63,441.98813
64,441.31784
65,443.18442
66,440.62427
67,465.8326
68,433.6559
69,443.61685
70,470.56033
71,450.9443
72,444.32022
73,447.25006
74,473.2246
75,475.8643
76,479.8914
77,442.8931
78,458.14954
79,478.6523
80,439.47794
81,444.55307
82,465.8826
83,476.42764
84,444.4268
85,432.92426
86,461.65878
87,463.24545
88,443.1838
89,447.17984
90,441.15033
91,441.1702
92,447.38223
93,464.31104
94,447.91208
95,468.1841
96,436.0511
97,467.44003
98,455.4626
99,441.80133
100,461.61435
101,475.94238
102,469.8223
103,438.12152
104,438.92874
105,445.14505
106,432.79242
107,463.63446
108,464.6904
109,435.43408
110,479.2209
111,476.7267
112,444.88022
113,464.22867
114,433.66275
115,447.24698
116,477.91336
117,470.50946
118,476.35403
119,453.6111
120,440.85507
121,433.8441
122,440.22104
123,447.01382
124,434.01993
125,429.61545
126,474.72855
127,438.15884
128,434.37143
129,440.54318
130,434.35922
131,443.1962
132,469.96915
133,447.1451
134,476.67212
135,450.03482
136,447.01837
137,465.28128
138,437.20584
139,467.6352
140,431.63388
141,468.00433
142,464.18698
143,446.25345
144,431.99667
145,440.44617
146,478.16537
147,478.03146
148,448.41794
149,462.39633
150,436.392
151,469.83694
152,458.64404
153,442.4798
154,439.14877
155,442.64517
156,447.30554
157,435.59158
158,474.53848
159,464.93646
160,472.66898
161,431.35855
162,445.09103
163,466.97296
164,434.43234
165,465.7655
166,449.59915
167,438.64554
168,464.92957
169,441.98373
170,476.34683
171,447.55258
172,469.36563
173,443.7564
174,452.0347
175,443.0504
176,435.72366
177,438.5557
178,449.24545
179,436.03458
180,461.88284
181,449.39468
182,474.75168
183,447.77017
184,467.37646
185,446.1178
186,438.33945
187,433.34293
188,437.72452
189,445.49048
190,454.46707
191,441.98788
192,437.0732
193,449.81815
194,477.75647
195,448.6061
196,444.86536
197,433.39267
198,443.7372
199,460.94534
200,443.71933
201,465.13983
202,468.65274
203,477.0493
204,445.61417
205,435.86783
206,474.56485
207,461.1919
208,441.81876
209,443.51712
210,455.9952
211,476.80545
212,432.67313
213,463.67233
214,448.25513
215,435.662
216,446.75153
217,469.90262
218,468.19733
219,469.4671
220,443.52924
221,455.45203
222,463.84396
223,469.14896
224,433.4602
225,476.31613
226,464.06006
227,441.54352
228,445.81436
229,436.044
230,434.80185
231,465.0556
232,446.9053
233,474.7905
234,443.9064
235,445.96024
236,437.14505
237,439.73386
238,453.3888
239,437.5037
240,482.2932
241,475.26074
242,445.10782
243,432.77686
244,466.13126
245,459.48334
246,461.94516
247,436.34512
248,467.14853
249,475.29013
250,450.86032
251,441.80447
252,465.64627
253,435.71884
254,481.71228
255,444.03165
256,437.40756
257,439.93234
258,462.18796
259,435.71988
260,474.41742
261,452.16846
262,441.37704
263,437.77164
264,444.4287
265,466.57657
266,469.6253
267,435.07077
268,463.32602
269,435.97
270,461.49838
271,476.352
272,448.0118
273,436.66644
274,440.7145
275,444.2961
276,474.56363
277,467.10046
278,473.34457
279,467.6793
280,446.4916
281,443.29062
282,434.04697
283,471.35684
284,452.42477
285,453.2099
286,480.80112
287,446.61334
288,433.8478
289,448.64212
290,454.56265
291,441.06204
292,463.9457
293,438.783
294,443.81003
295,447.28122
296,450.63156
297,467.9274
298,470.7352
299,441.6401
300,469.97906
301,466.35806
302,435.85715
303,476.36768
304,431.78326
305,448.70724
306,477.07663
307,446.28067
308,450.20776
309,433.76266
310,472.16498
311,472.20813
312,459.71152
313,448.07736
314,436.4213
315,444.0859
316,475.62784
317,437.84457
318,466.2106
319,439.80188
320,468.0431
321,467.3143
322,439.9097
323,446.989
324,466.0729
325,450.79977
326,452.3065
327,438.2446
328,472.21884
329,431.72955
330,437.26013
331,443.62363
332,435.6
333,470.11493
334,479.54434
335,440.58444
336,481.82095
337,472.1552
338,439.7515
339,453.90115
340,469.6053
341,463.57025
342,447.82394
343,446.78928
344,469.74744
345,464.50638
346,439.3665
347,437.77695
348,439.8985
349,450.78268
350,438.5446
351,444.23447
352,435.04388
353,439.86957
354,464.9026
355,485.26837
356,468.81918
357,483.10773
358,442.40326
359,448.09482
360,446.92892
361,467.98328
362,466.18576
363,442.04446
364,452.5812
365,436.28815
366,463.89157
367,479.37448
368,433.7829
369,459.63773
370,464.45807
371,445.07834
372,454.0866
373,448.49808
374,473.62134
375,435.0577
376,459.34836
377,463.0049
378,476.54605
379,438.46298
380,445.71182
381,448.63382
382,452.08
383,468.19022
384,444.73154
385,435.34366
386,446.31253
387,461.61853
388,467.6575
389,435.64114
390,435.34335
391,438.6477
392,447.57867
393,439.47537
394,472.2697
395,437.97186
396,452.11502
397,459.484
398,446.30362
399,452.28012
400,468.699
401,439.2863
402,443.58786
403,436.46738
404,468.67206
405,462.12396
406,448.0622
407,446.3328
408,447.35562
409,472.5283
410,472.82593
411,434.80045
412,473.04572
413,479.371
414,460.66824
415,442.59106
416,482.15778
417,444.40933
418,478.3373
419,431.1464
420,480.3418
421,481.49893
422,476.35757
423,441.20532
424,437.87424
425,468.75238
426,459.45514
427,435.2722
428,436.14313
429,468.35724
430,447.17365
431,478.63852
432,437.0399
433,475.981
434,473.34732
435,473.4249
436,442.2725
437,450.7654
438,442.7144
439,460.72574
440,462.1469
441,433.26984
442,437.56296
443,467.2751
444,472.0628
445,454.31235
446,444.9235
447,479.39526
448,439.36703
449,471.71912
450,448.3161
451,439.06937
452,474.29648
453,451.84543
454,449.97382
455,436.32996
456,465.95883
457,431.16696
458,461.9114
459,443.9947
460,436.19644
461,449.2396
462,454.54886
463,481.9981
464,461.3524
465,458.16452
466,449.00626
467,450.12167
468,474.95898
469,435.12415
470,460.69333
471,444.27444
472,438.3524
473,482.55652
474,450.8124
475,448.74918
476,463.42825
477,444.50034
478,439.7595
479,439.08972
480,467.7142
481,445.37265
482,442.81686
483,435.7108
484,438.1222
485,455.692
486,440.87607
487,470.24307
488,451.6333
489,440.40405
490,439.165
491,462.81097
492,438.65323
493,440.90018
494,477.0687
495,437.56503
496,436.79843
497,461.95712
498,450.98056
499,452.98468
500,455.29166
501,451.00027
502,445.53354
503,470.57047
504,468.24106
505,467.82755
506,449.549
507,435.9304
508,441.85498
509,447.71823
510,446.03278
511,469.56088
512,436.6746
513,471.23233
514,441.79553
515,437.07928
516,447.23044
517,439.8168
518,470.7382
519,471.29663
520,470.82376
521,446.95694
522,459.40585
523,437.03424
524,449.92545
525,468.68912
526,474.87997
527,437.73715
528,434.05527
529,441.53296
530,435.01303
531,445.9894
532,463.62106
533,464.59848
534,442.1001
535,481.0994
536,474.71082
537,463.07346
538,468.90338
539,445.08228
540,450.2827
541,473.51022
542,473.9217
543,470.05814
544,470.4589
545,463.9542
546,454.35403
547,453.10367
548,469.19345
549,466.8856
550,443.06143
551,448.25336
552,442.74536
553,477.37656
554,436.37262
555,476.5153
556,462.93716
557,468.86533
558,467.92023
559,469.07608
560,465.76852
561,439.9668
562,440.51144
563,440.40475
564,449.51663
565,442.03964
566,435.02206
567,429.85297
568,442.47964
569,430.0897
570,453.90363
571,440.85098
572,464.53088
573,472.31808
574,446.38235
575,461.20743
576,447.47287
577,474.75198
578,456.7197
579,471.3195
580,476.67294
581,469.0565
582,461.49582
583,446.2021
584,446.9205
585,460.55478
586,460.55154
587,463.70572
588,478.77017
589,441.29996
590,465.1845
591,450.22516
592,466.1492
593,476.11917
594,435.2454
595,434.64685
596,465.68192
597,437.7145
598,445.39844
599,464.6638
600,444.50677
601,452.68134
602,481.10812
603,433.72452
604,467.40137
605,435.7615
606,452.76752
607,440.04938
608,463.14963
609,447.08624
610,439.51004
611,451.90027
612,467.8767
613,435.18546
614,467.2783
615,452.0097
616,446.03522
617,470.01367
618,462.7637
619,440.65292
620,435.07538
621,445.04745
622,433.20975
623,441.2167
624,463.79843
625,447.02072
626,434.18448
627,475.4719
628,480.38895
629,444.56796
630,432.9686
631,432.79794
632,441.64896
633,443.14102
634,438.1436
635,447.0522
636,447.74814
637,433.7021
638,466.1815
639,461.2492
640,433.88586
641,462.16415
642,434.49173
643,432.35538
644,431.54745
645,472.46658
646,437.1415
647,466.62793
648,459.65366
649,434.32523
650,435.93677
651,468.61783
652,463.16016
653,461.07904
654,462.97208
655,434.47644
656,437.51562
657,432.4433
658,460.7681
659,465.3915
660,463.4318
661,467.8396
662,449.69003
663,465.15497
664,447.28647
665,472.51367
666,466.88193
667,465.1171
668,432.92313
669,460.51913
670,464.0355
671,445.45956
672,464.84048
673,443.63174
674,448.586
675,449.9159
676,441.61536
677,430.90396
678,437.23157
679,429.4591
680,440.70908
681,471.28442
682,438.68008
683,437.2318
684,433.3977
685,443.9565
686,440.08133
687,464.72818
688,439.18616
689,438.50894
690,478.7264
691,451.77133
692,462.18463
693,432.12018
694,450.28668
695,435.2825
696,440.05487
697,438.36423
698,448.0393
699,463.59177
700,440.282
701,438.21725
702,460.49118
703,448.53857
704,442.79144
705,452.5932
706,465.91956
707,476.58176
708,469.1735
709,435.76004
710,469.5237
711,441.7988
712,435.01907
713,437.21304
714,460.20398
715,447.97244
716,447.71365
717,466.85526
718,436.0733
719,477.78555
720,444.26797
721,441.27127
722,466.96225
723,482.45145
724,476.94467
725,476.7533
726,474.46457
727,455.07352
728,464.67746
729,470.67734
730,478.1983
731,448.01218
732,476.914
733,441.23724
734,447.46103
735,478.32993
736,475.60516
737,463.4065
738,468.88254
739,465.4811
740,459.8001
741,445.58035
742,461.90497
743,441.56442
744,442.53775
745,467.33057
746,472.2311
747,436.22766
748,473.1666
749,472.23203
750,460.6896
751,435.84018
752,439.80515
753,438.63864
754,443.03143
755,452.8375
756,434.8564
757,464.35352
758,475.1689
759,467.00677
760,472.08215
761,470.53745
762,445.00253
763,440.6929
764,438.9174
765,442.58182
766,464.23834
767,434.61447
768,429.77832
769,469.9395
770,443.8995
771,431.51028
772,455.15433
773,470.1815
774,439.71173
775,439.5551
776,437.75125
777,437.97958
778,468.71426
779,436.63043
780,435.25568
781,462.6417
782,441.42203
783,476.7933
784,450.9959
785,435.28366
786,446.66324
787,437.28876
788,474.77087
789,463.88828
790,478.5709
791,443.153
792,446.15027
793,441.90833
794,473.15027
795,470.42514
796,437.93936
797,469.24377
798,466.13956
799,473.00314
800,433.59103
801,437.06238
802,460.6227
803,468.0966
804,467.80682
805,441.88705
806,447.05304
807,441.75772
808,445.59232
809,433.3217
810,473.94107
811,442.27682
812,480.394
813,440.65433
814,444.90598
815,444.7286
816,444.0403
817,459.04172
818,433.79666
819,435.75577
820,479.76895
821,437.26968
822,444.47012
823,468.6783
824,462.7916
825,478.53714
826,448.58975
827,472.86578
828,447.88632
829,440.13846
830,446.405
831,466.72012
832,472.39572
833,453.74295
834,436.4519
835,469.783
836,457.74887
837,465.84344
838,473.2158
839,447.75415
840,438.84305
841,462.4896
842,446.48642
843,457.1603
844,442.27933
845,466.06534
846,448.81412
847,448.57022
848,434.09738
849,455.3884
850,463.8248
851,430.08438
852,479.61365
853,466.7016
854,445.6417
855,440.25455
856,482.73828
857,447.62375
858,471.3878
859,438.14114
860,453.95795
861,437.74796
862,435.94235
863,450.86185
864,466.23587
865,472.25262
866,476.32892
867,438.68204
868,481.87363
869,436.96976
870,434.66617
871,455.37064
872,439.337
873,463.08414
874,468.65836
875,443.46017
876,430.65366
877,463.38083
878,455.27948
879,446.80258
880,467.47128
881,482.7517
882,482.2299
883,435.3267
884,444.58865
885,444.32394
886,463.01743
887,438.26566
888,440.93967
889,442.04013
890,448.36417
891,464.31937
892,447.84695
893,448.8892
894,472.1525
895,485.69308
896,476.34045
897,447.21048
898,433.64493
899,459.3178
900,429.11697
901,435.52087
902,457.33807
903,469.54407
904,438.68585
905,486.61105
906,444.4185
907,448.08954
908,438.27576
909,445.1182
910,462.55106
911,468.27646
912,435.7327
913,443.0971
914,453.78952
915,436.26434
916,440.26306
917,440.6901
918,450.89606
919,473.70682
920,463.93277
921,434.37167
922,469.85693
923,461.11966
924,440.99155
925,433.23856
926,477.10312
927,439.88766
928,445.07184
929,465.1938
930,450.09805
931,475.1875
932,444.11368
933,478.0847
934,470.79892
935,462.3383
936,440.98502
937,438.11572
938,439.6096
939,443.06305
940,445.87015
941,443.46783
942,431.20847
943,440.89822
944,440.79022
945,446.24905
946,454.5096
947,480.07596
948,447.44925
949,435.39883
950,466.74228
951,443.8041
952,465.89157
953,439.3993
954,482.43216
955,445.0229
956,446.50693
957,448.50528
958,440.0382
959,435.07706
960,438.4656
961,440.40918
962,447.77103
963,463.2618
964,467.93307
965,474.05383
966,456.59897
967,476.66684
968,447.28183
969,439.35406
970,475.204
971,443.0869
972,466.55997
973,434.63644
974,460.5132
975,471.2954
976,470.73782
977,448.10703
978,462.14127
979,439.89713
980,475.24777
981,443.5262
982,451.79575
983,447.4066
984,430.57257
985,465.1264
986,449.6503
987,477.28253
988,463.18683
989,446.2835
990,467.1962
991,446.56363
992,467.17038
993,433.67044
994,433.41772
995,467.64847
996,444.13828
997,474.23987
998,476.76566
999,441.97546
1000,441.76175
1001,447.97293
1002,474.38608
1003,458.24442
1004,432.63336
1005,444.28253
1006,437.40268
1007,466.06857
1008,479.2698
1009,442.47784
1010,440.79794
1011,435.75714
1012,481.62576
1013,458.99112
1014,459.7248
1015,438.0704
1016,466.3209
1017,478.85916
1018,434.50073
1019,466.86917
1020,472.8533
1021,434.45407
1022,439.9468
1023,442.529
1024,430.57626
1025,470.09616
1026,462.11002
1027,464.46124
1028,467.85852
1029,432.8298
1030,465.7568
1031,448.92245
1032,474.50323
1033,460.83405
1034,443.76175
1035,464.93655
1036,474.35342
1037,445.30264
1038,435.60025
1039,452.49673
1040,470.20535
1041,466.79996
1042,446.40814
1043,442.14792
1044,444.88538
1045,446.8525
1046,482.0998
1047,445.64572
1048,446.40567
1049,446.38818
1050,439.93637
1051,457.89075
1052,438.00278
1053,450.156
1054,437.75632
1055,443.87625
1056,449.76913
1057,434.89706
1058,454.41223
1059,447.24283
1060,435.3403
1061,461.77307
1062,455.5906
1063,460.65625
1064,467.37595
1065,459.93448
1066,432.62418
1067,445.9222
1068,439.58826
1069,469.03464
1070,443.6224
1071,433.03494
1072,444.38095
1073,465.0748
1074,443.81387
1075,463.25705
1076,448.97037
1077,467.52972
1078,481.0662
1079,455.5363
1080,468.91168
1081,453.8751
1082,478.189
1083,434.15375
1084,465.6742
1085,446.47873
1086,432.53018
1087,439.80167
1088,440.67197
1089,441.69034
1090,445.20255
1091,436.71982
1092,471.37183
1093,434.98605
1094,434.83624
1095,439.9943
1096,437.09885
1097,452.8451
1098,456.9659
1099,445.4086
1100,433.77948
1101,446.13065
