,0
0,432.93527
1,436.3964
2,481.8993
3,439.05908
4,487.34018
5,460.09863
6,488.2827
7,466.74243
8,468.34326
9,434.2458
10,440.09512
11,478.2206
12,463.59412
13,434.11728
14,489.31885
15,482.27078
16,488.98584
17,436.34766
18,431.88458
19,450.04404
20,436.5767
21,446.54538
22,469.95923
23,444.8255
24,487.61533
25,433.5792
26,449.94907
27,467.64453
28,437.9072
29,433.873
30,434.7879
31,483.83176
32,461.59824
33,442.3246
34,473.0055
35,457.38135
36,471.89966
37,462.9441
38,466.3916
39,457.13974
40,486.0884
41,471.84644
42,441.83783
43,485.4548
44,441.442
45,434.529
46,457.6323
47,445.91852
48,458.60495
49,455.9643
50,433.89786
51,469.54208
52,443.81564
53,439.7932
54,470.7105
55,461.56598
56,457.42203
57,445.40424
58,475.9253
59,441.37183
60,438.14822
61,438.76953
62,433.00653
63,440.4258
64,441.11203
65,441.6054
66,439.4009
67,470.85226
68,434.1866
69,442.19046
70,476.8084
71,455.58554
72,446.63022
73,450.28787
74,478.51068
75,478.9724
76,484.6481
77,441.5309
78,459.85916
79,484.73938
80,434.54062
81,443.06955
82,465.49844
83,478.96072
84,446.06018
85,433.511
86,460.6418
87,462.52466
88,438.14337
89,447.41513
90,443.4953
91,435.4906
92,449.9779
93,469.05032
94,445.97012
95,472.51917
96,437.4721
97,472.9948
98,454.9407
99,443.50937
100,465.37802
101,480.00403
102,475.50824
103,432.3636
104,438.6585
105,448.58548
106,432.49738
107,467.89804
108,466.65457
109,432.58115
110,484.21277
111,482.97086
112,444.0081
113,469.76877
114,434.177
115,447.00467
116,483.18417
117,476.32782
118,480.56183
119,451.54892
120,443.83224
121,432.93924
122,436.96738
123,448.51318
124,433.60788
125,432.1578
126,479.65726
127,442.34637
128,436.25473
129,440.16092
130,433.85577
131,441.80542
132,475.80777
133,446.0458
134,483.08133
135,453.05884
136,448.9457
137,465.06088
138,434.58377
139,473.18124
140,432.48975
141,472.9344
142,464.65793
143,445.49036
144,430.88104
145,436.19077
146,484.6751
147,481.6865
148,451.27924
149,468.44717
150,438.53848
151,476.093
152,462.67398
153,435.97162
154,439.96155
155,441.75342
156,449.11362
157,434.34402
158,478.971
159,471.12808
160,476.47647
161,429.68256
162,450.06302
163,469.74396
164,432.92746
165,468.4091
166,451.1704
167,437.87994
168,469.8096
169,443.51642
170,482.34198
171,448.3158
172,474.2419
173,443.0999
174,448.19684
175,442.4879
176,437.7311
177,439.49484
178,452.4679
179,431.50037
180,462.55402
181,453.28336
182,480.3664
183,446.95114
184,471.80383
185,448.6222
186,437.20514
187,433.13663
188,436.87762
189,446.2852
190,456.42517
191,439.44003
192,437.66162
193,454.6735
194,483.63885
195,452.1935
196,443.17523
197,433.553
198,438.31784
199,464.28903
200,446.82578
201,464.1188
202,473.87085
203,479.9419
204,440.92654
205,435.753
206,476.37424
207,464.07874
208,441.58755
209,442.42065
210,458.58334
211,482.8303
212,433.7088
213,465.89102
214,450.93213
215,439.18082
216,449.01035
217,475.12933
218,474.82315
219,474.61392
220,443.5416
221,458.97015
222,468.14734
223,474.37625
224,436.00842
225,480.4863
226,464.6725
227,436.51926
228,447.9203
229,434.8201
230,431.8187
231,465.87576
232,447.99716
233,482.1938
234,441.53912
235,444.31223
236,433.60593
237,441.7515
238,454.197
239,438.27475
240,487.671
241,480.8966
242,444.97546
243,431.5289
244,466.69196
245,462.29813
246,468.15274
247,431.14343
248,470.91937
249,480.6348
250,447.03503
251,437.8624
252,469.29468
253,436.6299
254,488.16583
255,445.31134
256,434.50665
257,435.40338
258,463.57147
259,436.60416
260,475.89758
261,453.0714
262,439.02457
263,438.4435
264,447.53592
265,470.6527
266,475.2209
267,432.1297
268,467.9807
269,433.14462
270,463.43018
271,477.71307
272,443.3411
273,433.86407
274,439.28635
275,446.55252
276,479.85046
277,471.66882
278,476.58017
279,471.35837
280,445.86093
281,441.35657
282,433.77914
283,475.815
284,458.08566
285,455.9699
286,485.4035
287,449.98242
288,432.41968
289,451.6004
290,453.0356
291,433.13123
292,467.79227
293,432.75363
294,443.37585
295,448.99493
296,448.17026
297,471.75934
298,476.79703
299,437.83438
300,472.56287
301,468.91177
302,433.75613
303,480.84286
304,433.7171
305,448.1498
306,477.11688
307,448.21692
308,449.31076
